tc180s3g00001,,,,,,,,,,
tc180s3g00002,,,,,,,,,,
tc180s3g00003,,,,,,,,,,
tc180s3g00004,,,,,,,,,,
tc180s3g00086,.,hli2s13g00468,dz186s3g01181,dz186s14g00807,dz186s15g00787,opy300s1g00443,opy300s5g01171,.,opy300s15g00262,opy300s26g00523
tc180s3g00087,hli2s12g00568,.,dz186s3g01180,.,,opy300s1g00442,.,.,.,.
tc180s3g00088,hli2s12g00569,.,dz186s3g01179,.,,.,.,.,.,opy300s26g00527
tc180s3g00089,.,.,.,.,,.,.,.,.,.
tc180s3g00090,hli2s12g00574,.,dz186s3g01178,.,,opy300s1g00441,.,.,.,opy300s26g00529
tc180s3g00091,.,hli2s13g00471,.,dz186s14g00808,,.,.,.,.,.
tc180s3g00092,hli2s12g00576,.,.,dz186s14g00809,,.,.,.,.,opy300s26g00531
tc180s3g00093,hli2s12g00577,hli2s13g00474,dz186s3g01177,dz186s14g00810,,.,opy300s5g01172,.,.,opy300s26g00532
tc180s3g00094,.,.,.,.,,.,.,.,.,.
tc180s3g00095,hli2s12g00578,.,dz186s3g01176,dz186s14g00811,,opy300s1g00440,.,.,.,.
tc180s3g00096,hli2s12g00579,hli2s13g00475,dz186s3g01175,.,,.,opy300s5g01189,.,.,.
tc180s3g00097,hli2s12g00580,.,dz186s3g01174,dz186s14g00812,,opy300s1g00438,,.,.,.
tc180s3g00098,hli2s12g00581,.,dz186s3g01173,dz186s14g00814,,opy300s1g00437,,.,.,.
tc180s3g00099,.,hli2s13g00477,dz186s3g01172,.,,.,,.,opy300s15g00250,.
tc180s3g00100,.,.,dz186s3g01171,.,,.,,.,.,.
tc180s3g00101,hli2s12g00582,hli2s13g00481,dz186s3g01170,.,,opy300s1g00436,,.,.,.
tc180s3g00102,hli2s12g00584,hli2s13g00482,.,.,,.,,.,opy300s15g00249,.
tc180s3g00103,.,.,.,.,,.,,.,.,.
tc180s3g00104,.,hli2s13g00484,dz186s3g01168,.,,.,,.,.,opy300s26g00533
tc180s3g00105,.,.,dz186s3g01167,.,,.,,.,opy300s15g00247,.
tc180s3g00106,hli2s12g00585,.,.,dz186s14g00815,,.,,opy300s6g00403,.,.
tc180s3g00107,.,hli2s13g00488,dz186s3g01166,.,,.,,.,opy300s15g00246,opy300s26g00534
tc180s3g00108,hli2s12g00589,.,.,.,,.,,opy300s6g00399,,
tc180s3g00109,hli2s12g00592,.,.,dz186s14g00816,,opy300s1g00435,,,,
tc180s3g00110,.,.,.,.,,.,,,,
tc180s3g00111,.,.,.,.,,.,,,,
tc180s3g00112,.,.,.,.,,.,,,,
tc180s3g00113,.,.,.,.,,.,,,,
tc180s3g00114,.,.,.,.,,.,,,,
tc180s3g00115,hli2s12g00593,.,dz186s3g01149,.,,opy300s1g00434,,,,
tc180s3g00116,hli2s12g00594,.,.,dz186s14g00817,,opy300s1g00433,,,,
tc180s3g00117,hli2s12g00595,hli2s13g00491,dz186s3g01150,dz186s14g00818,,.,,,,
tc180s3g00118,hli2s12g00609,hli2s13g00492,dz186s3g01151,dz186s14g00819,,opy300s1g00432,,,,
tc180s3g00119,.,hli2s13g00493,.,.,,opy300s1g00430,,,,
tc180s3g00120,.,hli2s13g00494,dz186s3g01152,.,,opy300s1g00429,,,,
tc180s3g00121,hli2s12g00608,.,.,dz186s14g00823,,,,,,
tc180s3g00122,hli2s12g00607,.,.,dz186s14g00822,,,,,,
tc180s3g00123,hli2s12g00606,hli2s13g00495,dz186s3g01153,dz186s14g00820,,,,,,
tc180s3g00124,.,.,dz186s3g01720,.,,,opy300s5g01645,opy300s6g00008,,
tc180s3g00125,hli2s12g00020,.,.,dz186s14g01177,,,opy300s5g01646,opy300s6g00007,,
tc180s3g00126,hli2s12g00021,hli2s13g00001,dz186s3g01721,dz186s14g01178,,,opy300s5g01647,.,,
tc180s3g00127,hli2s12g00022,.,.,dz186s14g01179,,,.,opy300s6g00006,,
tc180s3g00128,.,.,dz186s3g01722,.,,,.,.,,
tc180s3g00129,hli2s12g00023,.,dz186s3g01723,.,,,opy300s5g01648,.,,
tc180s3g00130,.,hli2s13g00502,.,.,,,.,.,,
tc180s3g00131,hli2s12g00024,.,dz186s3g01724,.,,,opy300s5g01649,.,,
tc180s3g00132,.,.,dz186s3g01725,.,,,.,.,,
tc180s3g00133,hli2s12g00025,.,dz186s3g01726,dz186s14g01180,,,.,opy300s6g00005,,
tc180s3g00134,.,.,dz186s3g01727,dz186s14g01184,,opy300s1g00002,opy300s5g01650,.,,
tc180s3g00135,.,.,.,.,,.,.,.,,
tc180s3g00136,.,.,.,.,,.,.,.,,
tc180s3g00137,.,.,.,.,,.,.,.,,
tc180s3g00138,.,.,.,.,,.,.,.,,
tc180s3g00139,.,.,dz186s3g01728,dz186s14g01182,,.,opy300s5g01652,opy300s6g00004,,
tc180s3g00140,.,.,.,.,,.,opy300s5g01653,.,,
tc180s3g00141,.,.,.,.,,.,.,.,,
tc180s3g00142,hli2s12g00598,.,dz186s3g01160,.,,.,.,.,,
tc180s3g00143,.,.,.,.,,.,.,.,,
tc180s3g00144,.,.,.,.,,.,.,.,,
tc180s3g00145,hli2s12g00599,.,dz186s3g01159,.,,.,.,.,,
tc180s3g00146,hli2s12g00601,.,dz186s3g01158,dz186s14g00824,,.,.,.,,
tc180s3g00147,.,.,dz186s3g01157,.,,.,.,.,,
tc180s3g00148,hli2s12g00602,hli2s13g00504,dz186s3g01156,.,,.,.,.,,
tc180s3g00149,hli2s12g00604,.,dz186s3g01155,.,,.,.,.,,
tc180s3g00150,hli2s12g00605,.,dz186s3g01154,.,,.,.,.,,
tc180s3g00151,.,.,dz186s3g01719,.,,.,.,opy300s6g00009,,
