tc180s3g00106,.,,opy300s6g00403,.,.
tc180s3g00107,.,,.,opy300s15g00246,opy300s26g00534
tc180s3g00108,.,,opy300s6g00399,,
tc180s3g00109,opy300s1g00435,,,,
tc180s3g00110,.,,,,
tc180s3g00111,.,,,,
tc180s3g00112,.,,,,
tc180s3g00113,.,,,,
tc180s3g00114,.,,,,
tc180s3g00115,opy300s1g00434,,,,
tc180s3g00116,opy300s1g00433,,,,
tc180s3g00117,.,,,,
tc180s3g00118,opy300s1g00432,,,,
tc180s3g00119,opy300s1g00430,,,,
tc180s3g00120,opy300s1g00429,,,,
tc180s3g00121,,,,,
tc180s3g00122,,,,,
tc180s3g00123,,,,,
tc180s3g00124,,opy300s5g01645,opy300s6g00008,,
tc180s3g00125,,opy300s5g01646,opy300s6g00007,,
tc180s3g00126,,opy300s5g01647,.,,
tc180s3g00127,,.,opy300s6g00006,,
tc180s3g00128,,.,.,,
tc180s3g00129,,opy300s5g01648,.,,
tc180s3g00130,,.,.,,
tc180s3g00131,,opy300s5g01649,.,,
tc180s3g00132,,.,.,,
tc180s3g00133,,.,opy300s6g00005,,
tc180s3g00134,opy300s1g00002,opy300s5g01650,.,,
tc180s3g00135,.,.,.,,
tc180s3g00136,.,.,.,,
tc180s3g00137,.,.,.,,
tc180s3g00138,.,.,.,,
tc180s3g00139,.,opy300s5g01652,opy300s6g00004,,
tc180s3g00140,.,opy300s5g01653,.,,
tc180s3g00141,.,.,.,,
tc180s3g00142,.,.,.,,
tc180s3g00143,.,.,.,,
tc180s3g00144,.,.,.,,
tc180s3g00145,.,.,.,,
tc180s3g00146,.,.,.,,
tc180s3g00147,.,.,.,,
tc180s3g00148,.,.,.,,
tc180s3g00149,.,.,.,,
tc180s3g00150,.,.,.,,
tc180s3g00151,.,.,opy300s6g00009,,
tc180s3g00152,.,.,.,,
tc180s3g00153,.,.,opy300s6g00011,,
tc180s3g00154,opy300s1g00005,.,.,,
tc180s3g00155,.,opy300s5g01644,opy300s6g00012,,
tc180s3g00156,.,.,.,,
tc180s3g00157,opy300s1g00007,opy300s5g01643,.,,
tc180s3g00158,opy300s1g00008,.,.,,
tc180s3g00159,.,opy300s5g01641,.,,
tc180s3g00160,opy300s1g00010,.,.,,
tc180s3g00161,.,.,.,,
tc180s3g00162,.,opy300s5g01640,opy300s6g00013,,
tc180s3g00163,opy300s1g00011,opy300s5g01639,opy300s6g00014,,
tc180s3g00164,.,opy300s5g01638,opy300s6g00015,,
tc180s3g00165,opy300s1g00012,.,,,
tc180s3g00166,opy300s1g00013,.,,,
tc180s3g00167,opy300s1g00014,opy300s5g01637,,,
tc180s3g00168,,opy300s5g01253,,,
tc180s3g00169,,opy300s5g01252,opy300s6g00749,,opy300s26g00419
tc180s3g00170,,opy300s5g01251,opy300s6g00750,,.
tc180s3g00171,opy300s1g00593,opy300s5g01249,.,,opy300s26g00420
tc180s3g00172,opy300s1g00592,opy300s5g01248,opy300s6g00751,,opy300s26g00422
tc180s3g00173,opy300s1g00591,.,opy300s6g00752,,opy300s26g00423
tc180s3g00174,opy300s1g00590,opy300s5g01247,.,,.
tc180s3g00175,opy300s1g00589,opy300s5g01243,opy300s6g00755,,opy300s26g00424
tc180s3g00176,opy300s1g00587,.,opy300s6g00814,,.
tc180s3g00177,opy300s1g00586,opy300s5g01241,opy300s6g00795,,opy300s26g00426
tc180s3g00178,.,opy300s5g01240,opy300s6g00794,,opy300s26g00427
tc180s3g00179,.,.,.,,opy300s26g00428
tc180s3g00180,opy300s1g00585,opy300s5g01239,.,,.
tc180s3g00181,.,opy300s5g01238,opy300s6g00790,,.
tc180s3g00182,opy300s1g00583,.,.,,.
tc180s3g00183,.,.,.,,.
